"Freq [GHz]","arg(St(stripline1_T1,stripline1_T1)) [deg]","arg(St(stripline1_T2,stripline1_T1)) [deg]","arg(St(stripline1_T3,stripline1_T1)) [deg]","arg(St(stripline1_T4,stripline1_T1)) [deg]"
4.34,179.918181887997,-0.0347192013216417,-0.0478724413891113,-0.0499250010036899
4.36,179.917906277834,-0.0348525049110988,-0.0480609968685497,-0.0501239575485104
4.38,179.917630765724,-0.0349857464950698,-0.0482495286913233,-0.0503229175202573
4.4,179.917355341401,-0.0351189261905567,-0.0484380433201559,-0.0505218830769353
4.42,179.917079995278,-0.0352520441391335,-0.0486265469544856,-0.0507208559915952
4.44,179.916804718452,-0.0353851005118682,-0.0488150455250747,-0.0509198376472927
4.46,179.916529502714,-0.0355180955128106,-0.0490035446858966,-0.0511188290351549
4.48,179.916254340562,-0.0356510293816348,-0.0491920498089302,-0.0513178307503904
4.5,179.9159792252,-0.0357839023976815,-0.0493805659780981,-0.0515168429919175
4.52,179.915704150546,-0.0359167148830906,-0.049569097984456,-0.051715865559574
4.54,179.915429111238,-0.0360494672055372,-0.0497576503212056,-0.0519148978548234
4.56,179.915154102635,-0.036182159781713,-0.04994622718038,-0.0521139388793838
4.58,179.914879120819,-0.0363147930803204,-0.0501348324478971,-0.0523129872373862
4.6,179.914604162597,-0.0364473676250084,-0.0503234697015581,-0.0525120411352222
4.62,179.914329225499,-0.0365798839960663,-0.0505121422085997,-0.0527110983840363
4.64,179.914054307778,-0.0367123428352151,-0.0507008529213753,-0.0529101564018949
4.66,179.913779408407,-0.0368447448460714,-0.0508896044776065,-0.0531092122172247
4.68,179.91350452708,-0.0369770907973934,-0.0510783991979944,-0.0533082624718653
4.7,179.9132296642,-0.0371093815255188,-0.0512672390850615,-0.053507303425512
4.72,179.912954820881,-0.0372416179365113,-0.051456125822627,-0.0537063309603166
4.74,179.91267999894,-0.0373738010074615,-0.0516450607757357,-0.053905340586783
4.76,179.912405200888,-0.0375059317899104,-0.0518340449902453,-0.0541043274484746
4.78,179.912130429927,-0.0376380114093082,-0.0520230791940151,-0.0543032863294103
4.8,179.911855689937,-0.0377700410691325,-0.0522121637974956,-0.054502211660263
4.82,179.91158098547,-0.0379020220507521,-0.0524012988939064,-0.0547010975268541
4.84,179.911306321739,-0.0380339557145427,-0.0525904842632659,-0.0548999376770259
4.86,179.911031704604,-0.0381658435026819,-0.0527797193714219,-0.0550987255300158
4.88,179.910757140566,-0.0382976869383613,-0.052969003374583,-0.0552974541848357
4.9,179.910482636751,-0.0384294876275772,-0.0531583351208764,-0.0554961164299258
4.92,179.910208200898,-0.038561247259707,-0.0533477131529945,-0.0556947047544486
4.94,179.909933841344,-0.0386929676079183,-0.0535371357128234,-0.0558932113567276
4.96,179.909659567011,-0.0388246505293997,-0.0537266007437914,-0.0560916281569498
4.98,179.909385387388,-0.0389562979657559,-0.0539161058960577,-0.0562899468078523
5,179.909111312519,-0.0390879119430958,-0.0541056485291335,-0.0564881587070042
5.02,179.908837352983,-0.0392194945709201,-0.0542952257190054,-0.0566862550095353
5.04,179.908563519877,-0.0393510480437236,-0.0544848342603627,-0.0568842266404195
5.06,179.908289824798,-0.0394825746379244,-0.0546744706748547,-0.0570820643087349
5.08,179.908016279827,-0.0396140767133624,-0.054864131213831,-0.0572797585205856
5.1,179.907742897503,-0.0397455567108801,-0.0550538118672826,-0.0574772995939692
5.12,179.907469690811,-0.0398770171519822,-0.0552435083678446,-0.0576746776741108
5.14,179.907196673153,-0.0400084606372118,-0.0554332161991206,-0.0578718827465681
5.16,179.906923858333,-0.0401398898443471,-0.0556229306021942,-0.0580689046556968
5.18,179.906651260531,-0.0402713075273669,-0.0558126465827129,-0.0582657331183637
5.2,179.906378894283,-0.0404027165135397,-0.0560023589196975,-0.0584623577416799
5.22,179.906106774454,-0.0405341197022653,-0.0561920621728355,-0.0586587680392605
5.24,179.905834916216,-0.0406655200615507,-0.056381750691418,-0.0588549534492438
5.26,179.905563335025,-0.0407969206261719,-0.0565714186233654,-0.0590509033506037
5.28,179.905292046589,-0.0409283244944598,-0.0567610599247232,-0.0592466070828587
5.3,179.905021066852,-0.0410597348248964,-0.0569506683684103,-0.0594420539636737
5.32,179.904750411959,-0.041191154833488,-0.057140237555674,-0.0596372333076954
5.34,179.90448009823,-0.0413225877892096,-0.0573297609257706,-0.0598321344459386
5.36,179.904210142135,-0.041454037010448,-0.0575192317666737,-0.0600267467458293
5.38,179.903940560264,-0.041585505860832,-0.0577086432275009,-0.060221059630584
5.4,179.903671369297,-0.0417169977448094,-0.0578979883285528,-0.0604150626001746
5.42,179.903402585973,-0.0418485161023885,-0.0580872599753212,-0.0606087452511107
5.44,179.903134227064,-0.0419800644048573,-0.0582764509691849,-0.0608020972991886
5.46,179.902866309337,-0.0421116461481987,-0.0584655540221843,-0.06099510859934
5.48,179.902598849529,-0.0422432648488753,-0.0586545617684721,-0.0611877691684933
5.5,179.902331864311,-0.0423749240359731,-0.0588434667800999,-0.0613800692075817
5.52,179.902065370253,-0.0425066272467175,-0.0590322615793795,-0.0615719991238119
5.54,179.901799383795,-0.0426383780179975,-0.0592209386551967,-0.0617635495536164
5.56,179.901533921211,-0.0427701798804781,-0.0594094904768057,-0.0619547113864235
5.58,179.901268998572,-0.0429020363504523,-0.0595979095094671,-0.0621454757880803
5.6,179.901004631712,-0.0430339509223517,-0.0597861882312437,-0.0623358342244596
5.62,179.900740836193,-0.0431659270602321,-0.0599743191480864,-0.0625257784864674
5.64,179.900477627267,-0.0432979681892564,-0.0601622948109149,-0.0627153007141545
5.66,179.900215019838,-0.0434300776864774,-0.060350107832423,-0.0629043934229419
5.68,179.899953028427,-0.043562258871808,-0.0605377509048336,-0.0630930495273003
5.7,179.89969166713,-0.043694514997715,-0.0607252168168864,-0.0632812623686703
5.72,179.89943094958,-0.0438268492388928,-0.0609124984719382,-0.063469025740591
5.74,179.899170888912,-0.0439592646820155,-0.061099588906718,-0.0636563339151545
5.76,179.898911497716,-0.0440917643138162,-0.0612864813088887,-0.0638431816712674
5.78,179.898652788002,-0.0442243510100574,-0.0614731690354951,-0.0640295643213929
5.8,179.898394771153,-0.04435702752375,-0.0616596456330555,-0.0642154777395771
5.82,179.898137457891,-0.0444897964710422,-0.0618459048551526,-0.0644009183902667
5.84,179.89788085823,-0.044622660320883,-0.062031940681567,-0.0645858833565091
5.86,179.897624981434,-0.044755621379048,-0.062217747337127,-0.0647703703708435
5.88,179.897369835978,-0.0448886817763033,-0.0624033193102963,-0.0649543778443236
5.9,179.897115429498,-0.045021843453558,-0.062588651372434,-0.0651379048963025
5.92,179.896861768754,-0.0451551081467299,-0.0627737385953312,-0.0653209513872786
5.94,179.896608859583,-0.0452884773729487,-0.0629585763689336,-0.0655035179497361
5.96,179.896356706855,-0.045421952414589,-0.0631431604199114,-0.06568560601968
5.98,179.89610531443,-0.0455555343037425,-0.0633274868274452,-0.065867217871762
6,179.895854685111,-0.0456892238069883,-0.0635115520396184,-0.0660483566508067
6.02,179.895604820602,-0.0458230214083884,-0.0636953528891233,-0.0662290264081164
6.04,179.89535572146,-0.0459569272945165,-0.063878886606899,-0.0664092321353343
6.06,179.895107387053,-0.0460909413368371,-0.0640621508360402,-0.0665889798016727
6.08,179.894859815514,-0.046225063076576,-0.0642451436422602,-0.0667682763905814
6.1,179.894613003694,-0.0463592917072494,-0.0644278635252236,-0.0669471299375642
6.12,179.894366947121,-0.0464936260591997,-0.0646103094259256,-0.0671255495693389
6.14,179.894121639951,-0.0466280645830239,-0.0647924807338783,-0.0673035455438563
6.16,179.893877074925,-0.0467626053350543,-0.064974377290108,-0.067481129291775
6.18,179.893633243328,-0.0468972459601118,-0.0651559993887755,-0.0676583134581912
6.2,179.893390134942,-0.0470319836778834,-0.0653373477763031,-0.0678351119468993
6.22,179.893147738001,-0.0471668152688131,-0.0655184236460207,-0.0680115399652546
6.24,179.892906039154,-0.0473017370607452,-0.0656992286300499,-0.0681876140702059
6.26,179.892665023418,-0.0474367449161238,-0.0658797647866068,-0.068363352216448
6.28,179.892424674142,-0.0475718342213372,-0.0660600345841525,-0.0685387738059441
6.3,179.89218497296,-0.0477069998766581,-0.0662400408795033,-0.0687138997389141
6.32,179.891945899761,-0.0478422362879251,-0.0664197868912033,-0.0688887524666167
6.34,179.891707432646,-0.0479775373598372,-0.0665992761673178,-0.0690633560459338
6.36,179.891469547893,-0.04811289649167,-0.066778512546669,-0.0692377361967719
6.38,179.891232219926,-0.0482483065744978,-0.0669575001127314,-0.0694119203591627
6.4,179.890995421279,-0.0483837599913523,-0.0671362431415768,-0.0695859377557354
6.42,179.890759122571,-0.048519248620029,-0.0673147460405542,-0.0697598194528692
